appliance,primary,hostname,domain,vlan_ha_selfip,vlan_ha_selfmask,vlan_ha,vlan_ha_tag,add_trust_ip,add_trust_host,dns_server_1,dns_server_2,ntp_server_1,ntp_server_2,syslog_server
10.0.0.185,yes,f5-5200-a.sandbox.wwtatc.local,.sandbox.wwtatc.local,1.1.1.1,/30,F5_HA,666,10.0.0.186,f5-5200-b.sandbox.wwtatc.local,8.8.8.8,4.2.2.2,0.north-america.pool.ntp.org,1.north-america.pool.ntp.org,1.1.1.1
10.0.0.186,no,f5-5200-b.sandbox.wwtatc.local,.sandbox.wwtatc.local,1.1.1.2,/30,F5_HA,666,,,8.8.8.8,4.2.2.2,0.north-america.pool.ntp.org,1.north-america.pool.ntp.org,1.1.1.1
